Player,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,GOALS,xG,ASSISTS,xA,DUELS PER 90,DUELS WON %,Birth country,Passport country,Foot,Height,Weight,On loan,SUCCESSFUL DEFENSIVE ACTIONS PER 90,DEFENSIVE DUELS PER 90,DEFENSIVE DUELS WON %,AERIAL DUELS PER 90,AERIAL DUELS WON %,SLIDING TACKLES PER 90,PADJ SLIDING TACKLES,SHOTS BLOCKED PER 90,INTERCEPTIONS PER 90,PADJ INTERCEPTIONS,FOULS PER 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,SUCCESSFUL ATTACKING ACTIONS PER 90,GOALS PER 90,Non-penalty goals,NON PENALITY GOALS PER 90,xG PER 90,Head goals,Head goals per 90,SHOTS,SHOTS PER 90,SHOTS ON TARGET %,GOAL CONVERSION %,ASSISTS PER 90,CROSSES PER 90,ACCURATE CROSSES %,DRIBBLES PER 90,SUCCESSFUL DRIBBLES %,OFFENSIVE DUELS PER 90,OFFENSIVE DUELS WON %,TOUCHES IN BOX PER 90,PROGRESSIVE RUNS PER 90,ACCELERATIONS PER 90,PASSES PER 90,ACCURATE PASSES %,FORWARD PASSES PER 90,ACCURATE FORWARD PASSES %,BACK PASSES PER 90,ACCURATE BACK PASSES %,LATERAL PASSES PER 90,ACCURATE LATERAL PASSES %,LONG PASSES PER 90,ACCURATE LONG PASSES %,AVERAGE PASS LENGTH,AVERAGE LONG PASS LENGTH,xA PER 90,SHOT ASSISTS PER 90,SECOND ASSISTS PER 90,THIRD ASSISTS PER 90,SMART PASSES PER 90,ACCURATE SMART PASSES %,KEY PASSES PER 90,PASSES TO FINAL THIRD PER 90,ACCURATE PASSES TO FINAL THIRD %,PASSES TO PENALTY AREA PER 90,ACCURATE PASSES TO PENALTY AREA %,THROUGH PASSES PER 90,ACCURATE THROUGH PASSES %,DEEP COMPLETIONS PER 90,DEEP COMPLETED CROSSES per 90,PROGRESSIVE PASSES PER 90,ACCURATE PROGRESSIVE PASSES %
B. Kamara,Aston Villa,RDMF,25,38000000,2027-06-30,6,295,0,0,0,0.67,20.14,53.03,France,"France, Senegal",right,184,68,no,9.76,10.37,55.88,1.83,66.67,0.31,0.36,0.61,3.66,4.34,1.83,1,0.31,0,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,90,6.41,57.14,0.31,0.31,0,35.08,92.17,10.37,85.29,7.93,96.15,10.07,93.94,1.53,60,15.11,16.59,0.2,0.31,0,0,0,0,0.31,3.97,92.31,0.61,100,0,0,0.92,0,4.27,57.14
E. Konsa,Aston Villa,"RCB, RB",27,35000000,2028-06-30,13,1222,1,0.36,0,0.25,9.21,60.8,England,"England, Congo DR",right,183,77,no,5.6,3.61,65.31,1.33,55.56,0.07,0.09,0.22,3.17,4.06,0.15,0,0,0,0,0.74,0.07,1,0.07,0.03,0,0,2,0.15,100,50,0,0.44,16.67,0.59,75,2.5,55.88,0.44,0.81,0.07,41.54,91.49,13.55,83.15,4.64,95.24,17.01,97.4,2.14,41.38,18.54,34.29,0.02,0.07,0,0,0.15,50,0.07,4.42,75,0.74,20,0.52,28.57,0.15,0.07,4.64,66.67
M. Rogers,Aston Villa,"AMF, CF, LAMF",22,15000000,2030-06-30,15,1346,4,3.69,2,2.06,21.26,38.36,England,England,right,185,73,no,5.22,5.35,53.75,2.21,12.12,0.33,0.45,0,2.01,2.67,1.27,4,0.27,0,0,3.48,0.27,4,0.27,0.25,0,0,26,1.74,30.77,15.385,0.13,0.74,9.09,4.55,57.35,11.5,38.37,3.08,3.08,0.74,23.34,77.36,6.42,68.75,5.01,92,6.42,75,1,80,15.47,18.47,0.14,1,0.07,0,0.47,57.14,0.67,2.67,80,2.41,63.89,0.47,57.14,2.34,0,3.95,83.05
D. Jebbison,Bournemouth,"LAMF, CF",21,1000000,2028-06-30,2,40,0,0,0,0.01,,,Canada,"Canada, England",right,190,69,yes,,,,,,,0,,,0,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,11.28,0,,,,,,,,,,,,,,,,,
A. Scott,Bournemouth,"LDMF, RDMF",21,20000000,2025-06-30,8,318,0,0.15,0,0.12,23.21,52.44,Guernsey,"Guernsey, England",right,178,69,no,12.45,10.75,68.42,3.11,36.36,0.28,0.38,0.28,4.81,6.38,0.57,0,0,0,0,1.13,0,0,0,0.04,0,0,4,1.13,25,0,0,0,0,2.26,37.5,7.64,40.74,1.13,1.98,0,34.81,86.18,13.58,75,4.81,100,10.75,94.74,3.11,63.64,17.6,23.08,0.03,0.57,0,0,0,0,0.57,6.51,91.3,1.42,100,0.28,100,1.98,0,8.49,73.33
L. Sinisterra,Bournemouth,"CF, LAMF, LB",25,17000000,2027-06-30,8,263,1,1.26,1,1.03,29.77,33.33,Colombia,Colombia,right,172,70,no,4.45,7.19,42.86,4.11,41.67,0,0,0,1.37,2.03,1.03,0,0,0,0,5.13,0.34,1,0.34,0.43,1,0.34,11,3.76,45.45,9.091,0.34,2.05,33.33,8.21,33.33,15.06,29.55,5.48,3.08,0.34,22.93,79.1,5.82,70.59,5.13,86.67,6.84,75,0.68,50,15.17,6.42,0.35,2.05,0,0,0,0,0.68,2.05,100,2.4,42.86,0,0,1.03,0.68,3.42,70
J. Araujo,Bournemouth,RB,23,8000000,2029-06-30,8,385,0,0,0,0,15.9,47.06,United States,"United States, Mexico",right,175,70,no,10.75,10.75,50,2.81,41.67,0.47,0.58,0,4.91,6.12,0.94,1,0.23,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,1.17,20,0.23,0,0.94,25,0.23,0,0,32.73,83.57,14.03,75,4.91,100,9.12,84.62,3.51,60,19.38,34.99,0,0,0,0,0,0,0,3.27,92.86,0.94,25,0.23,0,0,0,8.42,63.89
M. Senesi,Bournemouth,LCB,27,22000000,2026-06-30,11,997,0,0.52,0,0.16,18.96,59.52,Argentina,"Argentina, Italy",left,185,75,no,13.09,9.3,70.87,4.06,48.89,0.99,1.17,0.63,5.51,6.51,1.44,4,0.36,0,0,0.9,0,0,0,0.05,0,0,1,0.09,0,0,0,0.54,50,0.72,87.5,2.53,53.57,0.45,0.99,0.18,47.84,81.51,25.37,72.6,2.44,96.3,15.26,92.31,12.19,55.56,23.77,40.3,0.01,0.18,0,0,0,0,0,12.19,62.22,2.44,59.26,1.26,35.71,1.08,0.18,12.01,78.2
Dean Huijsen,Bournemouth,LCB,19,0,2028-07-01,8,417,1,0.65,0,0.27,11.44,66.04,Netherlands,"Netherlands, Spain",right,195,82,no,7.99,3.67,82.35,5.83,66.67,0.86,1.15,0.43,4.1,5.48,0.86,1,0.22,0,0,0.43,0.22,1,0.22,0.14,1,0.22,4,0.86,25,25,0,0.22,100,0,0,0.22,0,0.86,1.08,0,43.6,84.65,20.07,70.97,1.51,100,17.7,96.34,7.99,59.46,22.88,29.4,0.06,0.65,0,0,0,0,0,6.26,62.07,0.43,100,0.43,50,0.43,0.22,9.5,68.18
Dango Ouattara,Bournemouth,"LAMF, RAMF, LB",22,0,2026-06-30,11,576,1,2.52,1,1.14,23.28,51.01,Burkina Faso,Burkina Faso,left,177,71,no,9.06,5.31,76.47,4.84,51.61,0.31,0.44,0.16,4.69,6.62,0.63,0,0,0,0,5.94,0.16,1,0.16,0.39,0,0,13,2.03,15.38,7.692,0.16,5.78,29.73,6.72,58.14,10.94,41.43,4.84,2.81,0.31,23.28,59.73,5.63,58.33,4.22,81.48,8.44,57.41,1.72,27.27,22.19,23.46,0.18,1.09,0,0,0.31,0,0.47,1.09,71.43,3.91,36,0.31,0,0.63,1.56,3.91,72
M. Kerkez,Bournemouth,LB,21,20000000,2026-06-30,14,1309,1,0.16,2,1.75,13.96,57.14,Serbia,"Serbia, Hungary",left,176,71,no,8.18,6.81,62.63,1.72,36,0.62,0.73,0.34,3.3,3.88,0.89,3,0.21,0,0,1.93,0.07,1,0.07,0.01,0,0,6,0.41,16.67,16.667,0.14,2.82,39.02,1.24,61.11,3.23,59.57,1.51,1.86,0.48,31.9,81.68,12.79,75.81,6.19,98.89,7.49,79.82,3.78,49.09,19.43,34.92,0.12,0.96,0,0,0,0,0.62,4.13,65,2.75,42.5,0.14,50,0.34,1.17,6.46,77.66
I. Zabarnyi,Bournemouth,RCB,22,32000000,2029-06-30,14,1408,0,0.08,0,0.03,10.67,65.87,Ukraine,Ukraine,right,189,81,no,7.16,4.6,75,3,55.32,0.45,0.55,0.19,3.26,3.98,0.32,2,0.13,0,0,0.32,0,0,0,0.01,0,0,1,0.06,0,0,0,0.13,0,0.32,100,1.02,56.25,0.19,0.7,0.06,39.89,86.38,15.79,75.71,3.45,96.3,16.81,94.68,7.29,59.65,23.38,39.28,0,0.19,0,0,0,0,0,5.88,67.39,0.32,40,0.19,33.33,0.06,0,7.86,73.17
A. Semenyo,Bournemouth,"RAMF, LAMF",24,10000000,2029-06-30,13,1256,4,4.45,1,2.07,23.65,46.06,England,"England, Ghana",right,185,79,no,5.37,5.37,57.33,3.73,34.62,0.21,0.26,0.07,2.08,2.55,1.65,5,0.36,0,0,5.09,0.29,4,0.29,0.32,0,0,51,3.65,23.53,7.843,0.07,2.08,31.03,5.3,63.51,12.11,46.15,4.3,3.51,0.43,24.51,78.95,5.09,60.56,6.59,97.83,7.52,80.95,1.5,38.1,17.29,38.34,0.15,0.86,0.14,0.14,0.36,60,0.36,2.08,55.17,2.29,62.5,0.43,50,1.43,0.64,3.73,75
Evanilson,Bournemouth,CF,25,0,,13,1023,4,4.84,0,0.5,18.56,38.86,Brazil,Brazil,right,183,77,no,3.34,2.9,57.58,4.75,37.04,0.35,0.43,0.09,1.32,1.62,1.23,0,0,0,0,2.02,0.35,4,0.35,0.43,1,0.09,27,2.38,55.56,14.815,0,0.35,0,0.97,72.73,5.81,37.88,4.57,0.97,0.26,10.03,72.81,1.32,53.33,2.9,87.88,2.46,75,0.26,100,13.53,9.09,0.04,0.44,0,0.09,0,0,0.26,0.44,60,0.09,0,0,0,0.44,0,0.35,50
A. Smith,Bournemouth,RB,33,1000000,2026-06-30,14,966,0,0.17,0,0,13.98,52.67,England,England,right,180,78,no,8.85,8.48,59.34,1.49,37.5,0.09,0.11,0.28,3.73,4.41,0.47,3,0.28,0,0,0.65,0,0,0,0.02,0,0,2,0.19,0,0,0,1.12,25,0.75,50,2.24,41.67,0.19,0.19,0,23.29,79.2,9.04,67.01,4.38,100,6.24,85.07,3.73,45,18.08,30.41,0,0,0,0,0,0,0,4.57,69.39,1.12,33.33,0.28,33.33,0.19,0.28,4.84,67.31
Kepa Arrizabalaga,Bournemouth,GK,30,12000000,2025-06-30,9,903,0,0,0,0,0.9,77.78,Spain,Spain,right,188,88,yes,1,0.3,66.67,0.5,80,0,0,0,0.8,1.02,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,100,0,0,0,16.74,88.69,9.17,80.43,0,0,6.88,100,6.08,75.41,34.18,49.07,0,0,0,0,0,0,0,1.5,66.67,0.2,50,0.1,0,0,0,5.48,81.82
R. Christie,Bournemouth,"LDMF, RDMF, LW",29,12000000,2027-06-30,13,926,1,0.68,0,0.91,19.63,53.47,Scotland,Scotland,left,178,71,no,10.79,8.75,68.89,1.36,28.57,0.19,0.22,0.49,4.57,5.26,1.65,5,0.49,0,0,1.65,0.1,1,0.1,0.07,0,0,9,0.87,44.44,11.111,0,0.58,16.67,2.53,42.31,7,38.89,1.07,1.17,0.49,35.48,84.66,10.21,75.24,7.58,97.44,10.69,86.36,2.33,37.5,18.72,30.57,0.09,0.87,0.1,0,0.1,100,0.29,5.05,75,1.94,65,0.19,50,0.87,0.19,5.35,70.91
E. Ünal,Bournemouth,"CF, AMF",27,18000000,2028-06-30,11,254,0,1.15,1,0.17,30.12,30.59,Türkiye,Türkiye,right,187,75,no,2.48,3.9,36.36,8.15,47.83,0.35,0.47,0,0.71,0.94,0.71,1,0.35,0,0,2.83,0,0,0,0.41,0,0,10,3.54,40,0,0.35,0.71,50,1.77,40,12.76,16.67,4.61,0.71,0,14.88,83.33,3.9,81.82,4.61,92.31,3.54,60,0.35,0,13.12,3.84,0.06,0.71,0,0,0.35,100,0.35,0.71,50,1.77,80,0.35,100,1.77,0.35,1.42,100
L. Cook,Bournemouth,"RDMF, LDMF",27,12000000,2028-06-30,13,1212,1,0.76,2,2.64,15.15,46.08,England,England,right,175,71,no,8.61,7.57,57.84,1.93,38.46,0.3,0.36,0.3,3.94,4.82,2.08,3,0.22,0,0,0.89,0.07,1,0.07,0.06,1,0.07,8,0.59,25,12.5,0.15,0.89,50,0.45,50,2.15,24.14,0.52,1.11,0.15,35.94,85.12,13.29,73.74,5.57,93.33,11.36,94.77,2.52,47.06,18.04,34.73,0.2,1.41,0.07,0.07,0.07,100,0.22,6.01,72.84,2,66.67,0.3,0,0.97,0.37,6.61,75.28
P. Billing,Bournemouth,"CF, LCMF, LDMF",28,22000000,2027-06-30,4,69,0,0,0,0.36,30,65.22,Denmark,"Denmark, Nigeria",left,193,83,no,16.96,11.74,88.89,5.22,75,2.61,3.75,0,3.91,5.63,0,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,3.91,33.33,1.3,100,9.13,42.86,3.91,1.3,0,31.3,66.67,9.13,71.43,1.3,100,10.43,50,2.61,50,16.47,10.89,0.47,2.61,0,0,0,0,3.91,1.3,100,3.91,100,0,0,3.91,1.3,5.22,75
D. Brooks,Bournemouth,"RCMF, RAMF, AMF",27,8000000,2026-06-30,7,179,1,0.28,0,0.68,17.09,52.94,England,"England, Wales",left,173,67,no,6.03,5.03,60,2.01,75,0,0,0.5,3.02,4.74,1.01,0,0,0,0,6.03,0.5,1,0.5,0.14,0,0,3,1.51,33.33,33.333,0,5.53,54.55,4.02,62.5,8.04,43.75,2.51,1.51,0,30.17,78.33,5.53,72.73,5.53,72.73,14.08,85.71,2.51,100,21.75,15.15,0.34,2.01,0,0,0,0,0.5,5.03,70,7.54,66.67,0.5,100,2.01,3.02,9.05,83.33
T. Adams,Bournemouth,"LDMF, RW, RDMF",25,15000000,2028-06-30,6,388,0,0.63,0,0.11,20.18,67.82,United States,United States,right,175,72,no,16.7,12.53,77.78,1.16,80,0.93,1.18,0.93,6.03,7.65,2.32,2,0.46,0,0,0.46,0,0,0,0.14,0,0,3,0.7,33.33,0,0,0,0,0.46,50,2.32,50,1.16,0.46,0,31.55,86.76,8.81,65.79,3.94,100,11.6,98,2.32,40,16.88,28.01,0.03,0.46,0,0.23,0,0,0.46,3.94,64.71,0.7,66.67,0,0,0.7,0,3.25,71.43
M. Travers,Bournemouth,GK,25,3500000,2027-06-30,3,296,0,0,0,0,0.3,100,Republic of Ireland,Republic of Ireland,right,191,82,no,1.52,0,0,0.3,100,0,0,0,1.52,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.55,94.74,6.99,91.3,0,0,4.56,100,6.08,90,35.8,51.45,0,0,0,0,0,0,0,0.91,66.67,0,0,0.3,0,0,0,4.86,93.75
M. Tavernier,Bournemouth,"LAMF, AMF, RAMF",25,20000000,2028-06-30,14,1176,1,2.51,4,1.66,20.51,40.3,England,England,left,177,70,no,5.89,6.35,59.04,2.98,30.77,0.15,0.19,0,1.99,2.46,1.07,2,0.15,0,0,2.91,0.08,1,0.08,0.19,0,0,29,2.22,27.59,3.448,0.31,2.91,28.95,2.76,50,9.49,33.06,2.07,2.3,0.54,30.08,75.57,8.95,68.38,6.81,89.89,9.34,74.59,1.3,52.94,17.98,25.54,0.13,1.53,0.08,0,0.46,16.67,0.61,3.98,73.08,3.75,46.94,0.46,33.33,1.15,0.84,5.2,76.47
J. Kluivert,Bournemouth,AMF,25,14000000,2028-06-30,14,899,5,4.93,2,1.05,17.92,45.81,Netherlands,"Netherlands, Suriname",right,172,66,no,5.81,6.61,59.09,2,35,0.1,0.11,0,1.8,2.05,2,4,0.4,0,0,4.3,0.5,1,0.1,0.49,0,0,23,2.3,65.22,21.739,0.2,3,33.33,3.7,48.65,7.31,43.84,4.4,2.2,0.6,21.92,73.06,5.71,68.42,5.11,98.04,6.11,60.66,1,50,17.36,13.1,0.1,1.1,0.2,0,0.1,0,0.4,2.1,61.9,2.2,50,0.1,0,1.4,1,3,66.67
M. Aarons,Bournemouth,RB,24,16000000,,1,23,0,0,0,0,,,England,"England, Jamaica",right,171,69,no,,,,,,,0,,,0,,0,,0,,,,0,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,18.81,0,,,,,,,,,,,,,,,,,
Neto,Bournemouth,GK,35,2500000,2026-06-30,2,209,0,0,0,0,0.86,100,Brazil,"Brazil, Italy",right,190,84,yes,0.86,0,0,0,0,0,0,0,0.86,1.15,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,100,0.86,100,0,0,0,15.93,70.27,10.77,56,0,0,4.31,100,9.04,47.62,37.13,49.04,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0,6.89,62.5
F. Onyeka,Brentford,"LCMF, RW",26,9000000,2027-06-30,2,34,0,0,0,0,,,Nigeria,Nigeria,right,183,70,yes,,,,,,,0,,,0,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,20.53,0,,,,,,,,,,,,,,,,,
M. Jensen,Brentford,"RCMF, LCMF",28,28000000,2026-06-30,8,520,0,0.23,1,1.8,12.81,41.89,Denmark,Denmark,right,180,68,no,4.15,4.67,55.56,0.87,80,0,0,0,1.56,1.94,1.21,1,0.17,0,0,1.9,0,0,0,0.04,0,0,5,0.87,20,0,0.17,2.08,41.67,1.73,50,5.54,37.5,0.52,0.52,0,33.4,81.35,11.08,70.31,5.37,96.77,10.73,85.48,4.85,71.43,19.43,35.44,0.31,1.9,0,0,0,0,0.52,6.4,78.38,3.81,59.09,0.35,50,1.56,0.69,7.44,74.42
V. Janelt,Brentford,"LDMF, DMF, LCMF",26,22000000,2026-06-30,14,1234,1,0.7,3,1.41,10.36,57.75,Germany,Germany,left,184,79,no,8.75,6.05,61.45,1.17,62.5,0.15,0.18,0.44,4.89,6.15,0.8,1,0.07,0,0,1.09,0.07,1,0.07,0.05,0,0,9,0.66,33.33,11.111,0.22,1.31,44.44,0.44,66.67,1.82,56,1.17,0.58,0,38.22,83.59,11.09,69.74,6.86,97.87,14.81,88.18,4.3,54.24,19.12,39.68,0.1,0.73,0,0.07,0.15,0,0.58,4.89,64.18,1.97,51.85,0.51,28.57,0.66,0.58,5.25,62.5
Y. Konak,Brentford,"RCMF, LCMF",18,0,,4,39,0,0.08,0,0,,,Türkiye,Türkiye,right,181,72,no,,,,,,,0,,,0,,0,,0,,,,0,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,13.68,6.79,,,,,,,,,,,,,,,,,
R. Trevitt,Brentford,CF,21,0,,1,8,0,0,0,0,,,England,England,right,170,65,no,,,,,,,0,,,0,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,22.25,0,,,,,,,,,,,,,,,,,
Y. Yarmoliuk,Brentford,RCMF,20,10000000,2028-06-30,11,377,0,0.64,0,0.13,23.63,42.42,Ukraine,Ukraine,right,180,72,no,12.41,11.94,62,0.95,0,0,0,0.72,5.01,7.33,0.48,1,0.24,0,0,1.67,0,0,0,0.15,0,0,7,1.67,14.29,0,0,2.39,20,2.63,36.36,8.12,20.59,1.91,1.43,0.24,48.7,86.27,10.27,69.77,11.22,100,16.95,85.92,2.15,77.78,16.85,11.22,0.03,0.72,0,0,0.48,0,0,5.49,82.61,2.63,54.55,0.48,0,0.72,0.48,5.97,64
Igor Thiago,Brentford,CF,23,25000000,2029-06-30,4,149,0,0.13,0,0.01,24.16,57.5,Brazil,"Brazil, Bulgaria",right,191,88,no,5.44,4.23,85.71,5.44,55.56,0,0,0,1.81,2.43,1.81,0,0,0,0,1.81,0,0,0,0.08,0,0,1,0.6,0,0,0,1.21,50,1.21,100,6.64,54.55,1.21,1.21,0,19.93,78.79,3.62,83.33,4.23,71.43,7.25,66.67,2.42,50,20.01,47.34,0.01,0.6,0,0,0,0,0,2.42,25,1.81,33.33,0,0,0.6,0,1.21,100
K. Lewis-Potter,Brentford,"LB, LAMF",23,15000000,2028-06-30,15,1221,0,1.09,1,1.81,16.44,46.64,England,England,right,170,66,no,4.86,4.72,60.94,1.99,37.04,0.07,0.09,0.22,1.92,2.43,0.44,3,0.22,0,0,3.76,0,0,0,0.08,0,0,12,0.88,50,0,0.07,3.02,26.83,4.35,57.63,8.03,39.45,2.73,3.98,0.66,26.68,78.18,5.75,61.54,7.15,93.81,8.18,76.58,2.65,52.78,18.11,28.18,0.13,0.74,0.22,0.07,0,0,0.37,1.99,62.96,2.36,40.63,0.22,33.33,0.88,0.88,4.05,69.09
S. van den Berg,Brentford,"RB, RCB, LB",22,12000000,2029-06-30,13,1203,0,0.63,0,0.24,15.71,51.43,Netherlands,Netherlands,right,192,87,no,8.6,6.88,50,5.01,52.24,0.15,0.19,0.75,5.01,6.44,0.67,1,0.07,0,0,0.75,0,0,0,0.05,0,0,8,0.6,25,0,0,0.67,55.56,0.37,60,1.72,30.43,1.05,0.45,0.15,33.74,85.59,14.59,78.97,5.76,98.7,8.6,87.83,1.57,38.1,16.79,22.42,0.02,0.15,0.07,0,0,0,0.07,3.89,76.92,0.37,40,0.15,0,0,0.22,5.91,60.76
K. Schade,Brentford,"CF, LWF, LAMF",23,22000000,2028-06-30,15,745,4,2.89,1,0.65,21.74,44.44,Germany,"Germany, Nigeria",right,185,74,no,4.83,5.07,57.14,6.04,54,0.12,0.15,0.12,1.81,2.27,0.85,1,0.12,0,0,2.9,0.48,4,0.48,0.35,0,0,16,1.93,56.25,25,0.12,1.57,30.77,3.62,36.67,7.37,31.15,3.02,2.17,0.48,14.5,70,3.02,56,3.74,83.87,3.5,65.52,0.85,28.57,15.29,20.73,0.08,0.48,0,0.12,0.12,0,0.12,0.6,40,0.97,37.5,0.24,0,0.48,0.36,0.97,62.5
Fábio Carvalho,Brentford,"CF, LW",22,14000000,2027-06-30,14,471,1,1.32,1,0.54,21.78,48.25,Portugal,"Portugal, England",right,170,62,no,8.22,8.98,59.57,1.91,30,0,0,0.19,2.87,3.91,0.76,1,0.19,0,0,2.1,0.19,1,0.19,0.25,0,0,9,1.72,44.44,11.111,0.19,0.96,20,2.1,45.45,8.6,42.22,3.25,1.72,0.38,26.94,75.18,7.64,67.5,6.88,97.22,5.54,72.41,1.34,42.86,13.43,10.18,0.1,0.38,0,0,0.19,100,0.38,3.06,75,2.1,54.55,0.38,50,1.53,0.19,4.39,56.52
M. Damsgaard,Brentford,"AMF, LCMF, LW",24,10000000,2027-06-30,15,1131,2,1.19,4,1.7,19.34,51.44,Denmark,Denmark,right,180,71,no,8.99,8.36,64.76,1.59,45,0.32,0.4,0.08,3.26,4.13,0.48,0,0,0,0,2.71,0.16,2,0.16,0.09,0,0,14,1.11,35.71,14.286,0.32,1.91,29.17,2.39,56.67,7.08,40.45,2.07,1.67,0.32,37.96,75.05,14.8,63.98,6.13,92.21,11.3,78.87,3.26,39.02,17.03,32.47,0.14,1.19,0.08,0.16,0.48,83.33,0.64,6.21,67.95,3.9,46.94,0.8,60,1.43,0.56,7.72,68.04
B. Mee,Brentford,"LCB, LB",35,1000000,2025-06-30,3,27,0,0,0,0,,,England,England,left,180,82,no,,,,,,,5,,,10,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,30,32.89,,,,,,,,,,,,,,,,,
C. Nørgaard,Brentford,"RDMF, DMF, LCMF",30,18000000,2025-06-30,12,1067,1,1,0,0.18,15.01,49.44,Denmark,Denmark,right,187,77,no,8.43,6.16,58.9,2.45,51.72,0.42,0.51,0.59,4.39,5.32,1.35,2,0.17,1,0.08,0.59,0.08,1,0.08,0.08,0,0,11,0.93,36.36,9.091,0,0.34,25,0.42,40,3.04,41.67,1.1,0.25,0,40.66,85.27,14.51,72.09,7.76,93.48,11.81,90,4.3,45.1,17.37,35.43,0.02,0.34,0.08,0.08,0,0,0.08,7.17,71.76,1.18,42.86,0.34,0,0.25,0.08,5.48,61.54
M. Flekken,Brentford,GK,31,12000000,2027-06-30,15,1497,0,0,1,0.42,0.9,80,Netherlands,Netherlands,right,195,87,no,1.92,0.3,80,0.3,80,0,0,0,1.68,2.1,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.12,100,0,0,0,31.38,85.82,15.21,73.91,0.06,100,15.39,96.88,10.76,64.8,31.61,49.87,0.03,0.12,0,0,0,0,0,3.79,49.21,0.24,25,0.18,0,0.06,0,6.97,66.38
Y. Wissa,Brentford,CF,28,28000000,2026-06-30,12,958,8,4.56,0,0.17,10.8,39.13,France,"France, Congo DR",right,176,74,no,2.16,1.88,35,2.07,40.91,0,0,0.19,1.5,1.92,0.75,1,0.09,0,0,1.78,0.75,8,0.75,0.43,2,0.19,20,1.88,70,40,0,1.13,16.67,0.66,42.86,5.64,41.67,3.48,1.6,0.66,19.54,81.73,4.04,72.09,4.98,94.34,5.82,75.81,1.32,57.14,16.51,29.18,0.02,0.56,0.28,0,0.28,0,0.28,2.25,79.17,0.66,28.57,0.28,0,0.75,0.19,1.97,66.67
K. Ajer,Brentford,"LB, RB",26,15000000,2028-06-30,8,693,0,0.18,0,0,15.06,53.45,Norway,Norway,right,196,84,no,7.53,5.84,66.67,2.47,47.37,0.52,0.63,0,3.12,3.75,0.65,3,0.39,0,0,1.43,0,0,0,0.02,0,0,1,0.13,100,0,0,0.78,16.67,1.82,50,5.32,41.46,0.65,2.6,1.56,34.03,81.68,15.32,74.58,5.06,97.44,8.31,85.94,2.99,65.22,19.32,32.57,0,0,0,0,0.26,100,0,4.42,67.65,0.91,57.14,0.26,100,0.39,0.13,6.23,66.67
M. Roerslev,Brentford,RB,25,10000000,2026-06-30,11,543,0,0.01,0,1.62,12.93,56.41,Denmark,Denmark,right,184,75,no,7.29,6.3,63.16,1.16,42.86,0,0,0,3.31,3.97,0.33,1,0.17,0,0,1.49,0,0,0,0,0,0,1,0.17,0,0,0,2.65,37.5,0.83,60,2.49,40,0.99,1.66,0.17,39.12,82.63,13.59,78.05,9.45,96.49,11.6,80,3.48,66.67,15.92,22.85,0.27,0.99,0,0,0,0,1.16,5.14,74.19,2.15,30.77,0.17,0,0.5,0.83,7.46,68.89
E. Pinnock,Brentford,"LCB, CB",31,12000000,2027-06-30,15,1497,2,0.74,0,0.13,13.29,65.61,England,"England, Jamaica",left,187,79,no,10.28,5.05,77.38,4.81,66.25,0.24,0.3,0.9,6.13,7.65,0.3,2,0.12,0,0,0.66,0.12,2,0.12,0.04,2,0.12,7,0.42,57.14,28.571,0,0.42,42.86,0.42,57.14,1.38,39.13,0.54,0.3,0,41,87.54,16.05,76.03,4.09,100,16.05,96.25,3.97,45.45,20.48,40.52,0.01,0.06,0,0,0,0,0.06,3.43,68.42,0.54,44.44,0,0,0.12,0.18,6.19,59.22
P. Maghoma,Brentford,RCMF,23,350000,2027-06-30,2,32,0,0,0,0,,,England,"England, Congo DR",right,185,75,no,,,,,,,0,,,12.86,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,6.99,0,,,,,,,,,,,,,,,,,
